supplier,raw_material,y
1,1,1
1,2,0
1,3,0
1,4,0
1,5,0
1,6,1
1,7,1
1,8,0
1,9,1
1,10,1
1,11,0
1,12,1
1,13,0
1,14,0
1,15,0
2,1,1
2,2,0
2,3,0
2,4,1
2,5,0
2,6,0
2,7,1
2,8,1
2,9,1
2,10,0
2,11,1
2,12,0
2,13,0
2,14,0
2,15,1
3,1,0
3,2,1
3,3,1
3,4,0
3,5,1
3,6,0
3,7,1
3,8,0
3,9,0
3,10,0
3,11,0
3,12,1
3,13,1
3,14,1
3,15,0
4,1,1
4,2,0
4,3,0
4,4,0
4,5,0
4,6,1
4,7,0
4,8,0
4,9,0
4,10,1
4,11,0
4,12,1
4,13,1
4,14,0
4,15,0
5,1,0
5,2,1
5,3,1
5,4,0
5,5,1
5,6,1
5,7,1
5,8,1
5,9,1
5,10,1
5,11,1
5,12,0
5,13,1
5,14,1
5,15,1
6,1,0
6,2,0
6,3,1
6,4,1
6,5,1
6,6,0
6,7,1
6,8,0
6,9,1
6,10,0
6,11,1
6,12,0
6,13,0
6,14,1
6,15,1
7,1,0
7,2,0
7,3,0
7,4,1
7,5,0
7,6,1
7,7,1
7,8,1
7,9,0
7,10,0
7,11,1
7,12,0
7,13,0
7,14,1
7,15,1
8,1,1
8,2,1
8,3,1
8,4,1
8,5,1
8,6,1
8,7,1
8,8,1
8,9,1
8,10,1
8,11,0
8,12,1
8,13,0
8,14,1
8,15,0
9,1,1
9,2,0
9,3,1
9,4,0
9,5,0
9,6,0
9,7,1
9,8,1
9,9,0
9,10,0
9,11,1
9,12,0
9,13,0
9,14,0
9,15,1
10,1,1
10,2,1
10,3,0
10,4,1
10,5,0
10,6,1
10,7,1
10,8,0
10,9,0
10,10,1
10,11,0
10,12,0
10,13,0
10,14,1
10,15,1
