job_id,raw_material,alpha
1,1,8
1,2,0
1,3,2
1,4,2
1,5,4
1,6,9
1,7,1
1,8,7
1,9,0
1,10,5
1,11,0
1,12,0
1,13,0
1,14,5
1,15,8
2,1,0
2,2,6
2,3,0
2,4,0
2,5,0
2,6,0
2,7,6
2,8,2
2,9,6
2,10,0
2,11,9
2,12,0
2,13,0
2,14,0
2,15,7
3,1,0
3,2,0
3,3,4
3,4,0
3,5,6
3,6,0
3,7,1
3,8,2
3,9,0
3,10,0
3,11,0
3,12,7
3,13,7
3,14,0
3,15,8
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,4
4,7,0
4,8,6
4,9,3
4,10,6
4,11,5
4,12,4
4,13,0
4,14,3
4,15,2
5,1,5
5,2,1
5,3,2
5,4,8
5,5,4
5,6,9
5,7,0
5,8,0
5,9,5
5,10,1
5,11,4
5,12,0
5,13,0
5,14,0
5,15,9
6,1,4
6,2,9
6,3,7
6,4,0
6,5,2
6,6,0
6,7,6
6,8,0
6,9,6
6,10,2
6,11,9
6,12,0
6,13,5
6,14,0
6,15,0
7,1,0
7,2,0
7,3,0
7,4,7
7,5,0
7,6,0
7,7,6
7,8,0
7,9,8
7,10,0
7,11,0
7,12,2
7,13,1
7,14,4
7,15,0
8,1,9
8,2,0
8,3,0
8,4,0
8,5,2
8,6,0
8,7,7
8,8,0
8,9,0
8,10,0
8,11,9
8,12,0
8,13,5
8,14,0
8,15,3
9,1,0
9,2,6
9,3,0
9,4,0
9,5,7
9,6,2
9,7,0
9,8,0
9,9,9
9,10,0
9,11,0
9,12,1
9,13,8
9,14,5
9,15,6
10,1,0
10,2,0
10,3,4
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,0
10,10,0
10,11,0
10,12,0
10,13,0
10,14,0
10,15,0
11,1,0
11,2,0
11,3,8
11,4,5
11,5,6
11,6,0
11,7,2
11,8,5
11,9,3
11,10,7
11,11,0
11,12,0
11,13,0
11,14,7
11,15,0
12,1,0
12,2,0
12,3,4
12,4,2
12,5,0
12,6,7
12,7,0
12,8,0
12,9,4
12,10,2
12,11,9
12,12,0
12,13,6
12,14,4
12,15,9
13,1,0
13,2,0
13,3,0
13,4,4
13,5,5
13,6,2
13,7,0
13,8,6
13,9,4
13,10,7
13,11,0
13,12,2
13,13,0
13,14,0
13,15,3
14,1,0
14,2,7
14,3,2
14,4,5
14,5,9
14,6,0
14,7,0
14,8,3
14,9,5
14,10,0
14,11,0
14,12,2
14,13,0
14,14,3
14,15,0
15,1,9
15,2,5
15,3,0
15,4,0
15,5,8
15,6,8
15,7,5
15,8,0
15,9,4
15,10,0
15,11,0
15,12,9
15,13,0
15,14,1
15,15,0
16,1,0
16,2,0
16,3,0
16,4,4
16,5,0
16,6,0
16,7,7
16,8,3
16,9,0
16,10,0
16,11,4
16,12,0
16,13,0
16,14,5
16,15,0
17,1,9
17,2,3
17,3,0
17,4,3
17,5,0
17,6,0
17,7,0
17,8,0
17,9,5
17,10,2
17,11,0
17,12,0
17,13,1
17,14,7
17,15,4
18,1,5
18,2,3
18,3,3
18,4,0
18,5,4
18,6,4
18,7,0
18,8,9
18,9,0
18,10,0
18,11,0
18,12,0
18,13,2
18,14,1
18,15,8
19,1,7
19,2,8
19,3,0
19,4,0
19,5,0
19,6,0
19,7,0
19,8,5
19,9,3
19,10,0
19,11,0
19,12,7
19,13,4
19,14,9
19,15,3
20,1,8
20,2,7
20,3,6
20,4,8
20,5,0
20,6,0
20,7,0
20,8,5
20,9,8
20,10,4
20,11,0
20,12,8
20,13,0
20,14,5
20,15,0
21,1,8
21,2,0
21,3,5
21,4,0
21,5,8
21,6,6
21,7,0
21,8,0
21,9,5
21,10,1
21,11,0
21,12,9
21,13,0
21,14,0
21,15,4
22,1,0
22,2,0
22,3,8
22,4,5
22,5,0
22,6,3
22,7,0
22,8,0
22,9,2
22,10,0
22,11,9
22,12,3
22,13,9
22,14,2
22,15,0
23,1,7
23,2,3
23,3,5
23,4,0
23,5,0
23,6,0
23,7,7
23,8,0
23,9,0
23,10,6
23,11,2
23,12,0
23,13,9
23,14,6
23,15,0
24,1,0
24,2,0
24,3,0
24,4,0
24,5,0
24,6,0
24,7,0
24,8,4
24,9,0
24,10,0
24,11,4
24,12,9
24,13,0
24,14,0
24,15,0
25,1,0
25,2,8
25,3,5
25,4,6
25,5,2
25,6,0
25,7,0
25,8,7
25,9,0
25,10,7
25,11,0
25,12,1
25,13,0
25,14,0
25,15,3
26,1,0
26,2,0
26,3,8
26,4,0
26,5,1
26,6,0
26,7,0
26,8,0
26,9,0
26,10,8
26,11,4
26,12,0
26,13,0
26,14,4
