supplier,raw_material,low,medium,high
1,1,79,99,196
1,2,66,86,131
1,3,75,95,179
1,4,63,83,118
1,5,67,87,136
1,6,73,93,167
1,7,71,91,157
1,8,63,83,119
1,9,73,93,165
1,10,71,91,157
1,11,78,98,192
1,12,72,92,160
1,13,77,97,188
1,14,79,99,196
1,15,61,81,108
2,1,61,81,107
2,2,70,90,150
2,3,69,89,149
2,4,71,91,155
2,5,74,94,174
2,6,66,86,131
2,7,63,83,117
2,8,73,93,168
2,9,67,87,138
2,10,78,98,192
2,11,61,81,106
2,12,74,94,170
2,13,74,94,172
2,14,65,85,127
2,15,61,81,108
3,1,66,86,131
3,2,67,87,139
3,3,79,99,197
3,4,77,97,187
3,5,64,84,123
3,6,69,89,147
3,7,71,91,159
3,8,78,98,191
3,9,62,82,113
3,10,75,95,176
3,11,78,98,192
3,12,78,98,191
3,13,65,85,127
3,14,62,82,112
3,15,71,91,159
4,1,61,81,107
4,2,62,82,112
4,3,61,81,107
4,4,64,84,121
4,5,77,97,186
4,6,73,93,167
4,7,72,92,163
4,8,79,99,198
4,9,69,89,149
4,10,60,80,103
4,11,63,83,116
4,12,65,85,126
4,13,73,93,167
4,14,67,87,135
4,15,66,86,131
5,1,62,82,111
5,2,74,94,171
5,3,60,80,102
5,4,69,89,146
5,5,74,94,174
5,6,70,90,150
5,7,73,93,168
5,8,75,95,178
5,9,64,84,122
5,10,61,81,109
5,11,61,81,105
5,12,71,91,157
5,13,65,85,126
5,14,63,83,119
5,15,74,94,173
6,1,76,96,180
6,2,79,99,195
6,3,69,89,148
6,4,70,90,152
6,5,79,99,198
6,6,70,90,150
6,7,63,83,118
6,8,65,85,125
6,9,79,99,196
6,10,60,80,104
6,11,76,96,180
6,12,72,92,164
6,13,69,89,148
6,14,76,96,183
6,15,76,96,181
7,1,68,88,143
7,2,72,92,160
7,3,75,95,176
7,4,73,93,165
7,5,69,89,148
7,6,78,98,191
7,7,77,97,188
7,8,61,81,106
7,9,70,90,154
7,10,76,96,183
7,11,61,81,108
7,12,67,87,138
7,13,70,90,150
7,14,66,86,132
7,15,73,93,169
8,1,79,99,199
8,2,67,87,136
8,3,75,95,178
8,4,62,82,111
8,5,69,89,148
8,6,60,80,100
8,7,68,88,142
8,8,60,80,101
8,9,77,97,187
8,10,79,99,196
8,11,61,81,108
8,12,76,96,181
8,13,74,94,170
8,14,66,86,130
8,15,75,95,178
9,1,79,99,196
9,2,75,95,179
9,3,73,93,169
9,4,66,86,132
9,5,72,92,160
9,6,75,95,179
9,7,74,94,171
9,8,64,84,122
9,9,68,88,141
9,10,67,87,136
9,11,73,93,169
9,12,68,88,141
9,13,68,88,141
9,14,70,90,154
9,15,71,91,157
10,1,62,82,111
10,2,78,98,192
10,3,68,88,140
10,4,63,83,117
10,5,60,80,100
10,6,68,88,143
10,7,74,94,174
10,8,65,85,129
10,9,77,97,185
10,10,63,83,119
10,11,62,82,113
10,12,67,87,139
10,13,74,94,170
10,14,65,85,129
10,15,76,96,182
