job_id,job_arrival_day,family,t_smd,t_aoi
1,0,f,300.0,843.0
2,0,l,944.0,3651.0
3,0,i,160.0,794.0
4,0,f,132.0,247.0
5,0,w,743.0,239.0
6,0,u,62.0,46.0
7,0,d,162.0,485.0
8,0,x,1110.0,650.0
9,0,y,33.0,153.0
10,0,g,2546.0,2026.0
11,0,k,5.0,13.0
12,0,n,62.0,81.0
13,0,q,1510.0,2126.0
14,0,l,25.0,29.0
15,0,d,58.0,130.0
16,0,x,11.0,29.0
17,0,r,36.0,48.0
18,0,b,34.0,36.0
19,0,u,31.0,91.0
20,0,s,597.0,798.0
21,0,e,32.0,15.0
22,0,p,101.0,90.0
23,0,m,127.0,197.0
24,0,a,152.0,104.0
25,0,x,60.0,164.0
26,0,r,58.0,130.0
27,0,h,91.0,478.0
28,0,a,35.0,31.0
29,0,c,56.0,265.0
30,0,s,1330.0,1567.0
31,0,d,117.0,83.0
32,0,m,518.0,776.0
33,0,w,64.0,60.0
34,0,x,117.0,177.0
35,0,g,11.0,29.0
36,0,b,69.0,125.0
37,0,m,147.0,207.0
38,0,v,30.0,39.0
39,0,p,11.0,27.0
40,0,b,99.0,88.0
41,0,q,14.0,25.0
42,0,i,1604.0,951.0
43,0,f,329.0,1072.0
44,0,k,162.0,485.0
45,0,v,88.0,102.0
46,0,y,30.0,57.0
47,0,d,400.0,2734.0
48,0,o,195.0,136.0
49,0,t,485.0,175.0
50,0,g,506.0,482.0
