supplier,raw_material,low,high
1,1,10,20
1,2,14,49
1,3,10,21
1,4,14,45
1,5,10,20
1,6,12,32
1,7,11,29
1,8,14,49
1,9,13,39
1,10,14,49
1,11,12,32
1,12,12,35
1,13,12,35
1,14,13,42
1,15,12,35
2,1,14,47
2,2,10,25
2,3,12,34
2,4,11,27
2,5,14,45
2,6,10,24
2,7,13,41
2,8,14,47
2,9,11,28
2,10,11,28
2,11,13,43
2,12,12,37
2,13,12,37
2,14,14,46
2,15,10,22
3,1,11,28
3,2,11,31
3,3,14,47
3,4,10,22
3,5,12,33
3,6,12,34
3,7,10,20
3,8,12,32
3,9,13,39
3,10,12,32
3,11,11,29
3,12,12,37
3,13,14,49
3,14,10,23
3,15,11,28
4,1,14,48
4,2,11,28
4,3,13,40
4,4,11,30
4,5,14,44
4,6,12,37
4,7,14,46
4,8,13,39
4,9,12,37
4,10,12,34
4,11,10,21
4,12,10,23
4,13,13,41
4,14,13,39
4,15,12,37
5,1,10,23
5,2,14,44
5,3,13,43
5,4,12,35
5,5,11,27
5,6,14,44
5,7,12,35
5,8,14,49
5,9,11,28
5,10,11,30
5,11,14,44
5,12,10,25
5,13,11,29
5,14,11,31
5,15,13,41
6,1,13,42
6,2,13,43
6,3,12,33
6,4,13,38
6,5,12,37
6,6,13,43
6,7,10,23
6,8,11,29
6,9,13,41
6,10,11,26
6,11,11,28
6,12,14,49
6,13,10,25
6,14,14,49
6,15,14,45
7,1,10,24
7,2,12,36
7,3,11,29
7,4,12,34
7,5,13,38
7,6,14,46
7,7,14,47
7,8,10,22
7,9,10,25
7,10,13,40
7,11,11,26
7,12,11,29
7,13,12,37
7,14,10,25
7,15,14,49
8,1,13,40
8,2,11,26
8,3,11,30
8,4,13,39
8,5,11,29
8,6,13,38
8,7,14,48
8,8,11,30
8,9,10,25
8,10,11,28
8,11,12,35
8,12,12,36
8,13,10,20
8,14,13,39
8,15,10,24
9,1,13,38
9,2,14,46
9,3,10,25
9,4,13,43
9,5,10,21
9,6,12,36
9,7,13,40
9,8,11,26
9,9,13,43
9,10,12,36
9,11,12,32
9,12,10,20
9,13,10,24
9,14,13,41
9,15,12,32
10,1,13,41
10,2,14,48
10,3,13,39
10,4,13,42
10,5,13,38
10,6,11,29
10,7,10,22
10,8,13,38
10,9,11,27
10,10,10,23
10,11,12,37
10,12,13,38
10,13,11,31
10,14,13,38
10,15,14,49
