job_id,raw_material,alpha
1,1,8
1,2,4
1,3,0
1,4,0
1,5,0
1,6,3
1,7,0
1,8,2
1,9,0
1,10,7
1,11,0
1,12,0
1,13,0
1,14,4
1,15,5
2,1,0
2,2,0
2,3,6
2,4,0
2,5,3
2,6,1
2,7,0
2,8,0
2,9,8
2,10,0
2,11,0
2,12,7
2,13,2
2,14,5
2,15,9
3,1,0
3,2,0
3,3,0
3,4,0
3,5,4
3,6,2
3,7,0
3,8,3
3,9,0
3,10,0
3,11,9
3,12,5
3,13,0
3,14,0
3,15,8
4,1,4
4,2,9
4,3,0
4,4,0
4,5,4
4,6,8
4,7,4
4,8,5
4,9,0
4,10,0
4,11,0
4,12,0
4,13,0
4,14,4
4,15,0
5,1,0
5,2,1
5,3,0
5,4,6
5,5,0
5,6,0
5,7,4
5,8,0
5,9,0
5,10,8
5,11,9
5,12,3
5,13,0
5,14,3
5,15,0
6,1,9
6,2,0
6,3,0
6,4,3
6,5,0
6,6,5
6,7,0
6,8,0
6,9,8
6,10,0
6,11,5
6,12,3
6,13,3
6,14,0
6,15,4
7,1,0
7,2,0
7,3,7
7,4,0
7,5,0
7,6,2
7,7,8
7,8,0
7,9,0
7,10,6
7,11,7
7,12,8
7,13,0
7,14,0
7,15,0
8,1,1
8,2,2
8,3,9
8,4,0
8,5,9
8,6,3
8,7,5
8,8,0
8,9,7
8,10,0
8,11,8
8,12,7
8,13,6
8,14,8
8,15,0
9,1,0
9,2,4
9,3,4
9,4,9
9,5,0
9,6,0
9,7,7
9,8,0
9,9,0
9,10,8
9,11,8
9,12,0
9,13,5
9,14,0
9,15,8
10,1,7
10,2,3
10,3,0
10,4,0
10,5,0
10,6,7
10,7,9
10,8,8
10,9,8
10,10,0
10,11,0
10,12,0
10,13,8
10,14,5
10,15,0
11,1,0
11,2,0
11,3,1
11,4,0
11,5,6
11,6,9
11,7,0
11,8,7
11,9,0
11,10,0
11,11,7
11,12,3
11,13,5
11,14,0
11,15,0
12,1,0
12,2,4
12,3,7
