job_id,job_arrival_day,family,t_smd,t_aoi
1,0,m,300.0,843.0
2,0,e,944.0,3651.0
3,0,g,160.0,794.0
4,0,y,132.0,247.0
5,0,b,743.0,239.0
6,0,u,62.0,46.0
7,0,q,162.0,485.0
8,0,m,1110.0,650.0
9,1,u,33.0,153.0
10,1,u,2546.0,2026.0
11,1,k,5.0,13.0
12,1,p,62.0,81.0
13,1,t,1510.0,2126.0
14,1,q,25.0,29.0
15,1,m,58.0,130.0
16,1,w,11.0,29.0
17,2,w,36.0,48.0
18,2,b,34.0,36.0
19,2,n,31.0,91.0
20,2,u,597.0,798.0
21,2,c,32.0,15.0
22,2,j,101.0,90.0
23,2,m,127.0,197.0
24,2,i,152.0,104.0
25,3,r,60.0,164.0
26,3,y,58.0,130.0
27,3,j,91.0,478.0
28,3,t,35.0,31.0
29,3,c,56.0,265.0
30,3,m,1330.0,1567.0
31,3,a,117.0,83.0
32,3,k,518.0,776.0
33,4,a,64.0,60.0
34,4,v,117.0,177.0
35,4,y,11.0,29.0
36,4,c,69.0,125.0
37,4,u,147.0,207.0
38,4,r,30.0,39.0
39,4,h,11.0,27.0
40,4,t,99.0,88.0
41,5,y,14.0,25.0
42,5,t,1604.0,951.0
43,5,r,329.0,1072.0
44,5,i,162.0,485.0
45,5,p,88.0,102.0
46,5,t,30.0,57.0
47,5,r,400.0,2734.0
48,5,f,195.0,136.0
49,6,k,485.0,175.0
50,6,j,506.0,482.0
51,6,r,12.0,20.0
52,6,k,36.0,35.0
53,6,k,11.0,34.0
54,6,n,83.0,455.0
55,6,o,62.0,81.0
56,6,c,425.0,690.0
57,7,x,68.0,106.0
58,7,k,269.0,372.0
59,7,e,518.0,776.0
60,7,a,290.0,544.0
61,7,k,446.0,446.0
62,7,s,6.0,13.0
63,7,h,919.0,1225.0
64,7,v,134.0,577.0
65,8,e,24.0,12.0
66,8,d,654.0,987.0
67,8,j,11.0,45.0
68,8,r,21.0,10.0
69,8,h,485.0,175.0
70,8,u,9.0,15.0
71,8,a,2375.0,2375.0
72,8,y,58.0,130.0
73,9,b,389.0,761.0
74,9,v,38.0,39.0
75,9,a,27.0,76.0
76,9,k,563.0,369.0
77,9,h,989.0,1272.0
78,9,y,2.0,3.0
79,9,q,1045.0,1650.0
80,9,y,333.0,619.0
81,10,k,315.0,2250.0
82,10,m,86.0,115.0
83,10,m,255.0,396.0
84,10,s,926.0,770.0
85,10,m,75.0,675.0
86,10,w,566.0,363.0
87,10,e,9.0,5.0
88,10,l,17.0,8.0
89,11,g,200.0,200.0
90,11,v,71.0,90.0
91,11,d,1110.0,650.0
92,11,r,222.0,417.0
93,11,w,43.0,117.0
94,11,h,1260.0,1822.0
95,11,g,169.0,109.0
96,11,t,739.0,1405.0
97,12,o,29.0,15.0
98,12,o,200.0,187.0
99,12,w,87.0,139.0
100,12,c,113.0,75.0
101,12,g,97.0,112.0
102,12,j,30.0,57.0
103,12,w,47.0,33.0
104,12,b,1305.0,1322.0
105,13,l,45.0,218.0
106,13,l,1469.0,1034.0
107,13,a,1019.0,315.0
108,13,k,48.0,112.0
109,13,q,1146.0,917.0
110,13,k,350.0,575.0
111,13,h,109.0,364.0
112,13,o,1485.0,671.0
113,14,y,245.0,323.0
114,14,d,584.0,1918.0
115,14,h,379.0,192.0
116,14,x,441.0,666.0
117,14,h,55.0,121.0
118,14,r,200.0,196.0
119,14,i,199.0,121.0
120,14,u,218.0,132.0
