c,F,V,E,H,SepGA,SepVNS,StatusQuo,IntGAMILP,IntVNSMILP,IntGANN,IntVNSNN,IntRBNN
low,low,low,low,low,127.67979180013536,110.4074793103793,120.99350530537427,19.923283002755326,32.21838547832057,0.0,53.435376559148054,6.5102493446929035
low,low,low,low,high,66.53081210447563,59.33829401018858,70.88076232191452,7.76485941544182,8.266593496116581,0.0,53.620670512683965,8.154797400465844
low,low,low,medium,low,176.94135689275973,155.55880759892185,164.2251330147272,15.91903391571524,43.23717484864764,0.0,67.54401233535948,9.937849020934067
low,low,low,medium,high,101.64534747384228,92.7022261728593,103.18319962217963,0.49004176767192037,18.873305150226187,0.0,69.41286050157626,13.116830843495958
low,low,low,high,low,216.03777078490018,189.52395433548207,195.80184196665897,9.436406185738583,48.800117983536644,0.0,75.5866635176128,18.59318510004702
low,low,low,high,high,161.47064361556767,149.8530148367081,161.82450845025068,0.0,36.91556659122539,7.213190488488273,82.0595344507579,30.782394213091063
low,low,high,low,low,57.88238804533052,47.07074289489632,57.2557698122527,0.0,25.944037613682248,6.089764756007461,47.68812610965945,2.422358521085595
low,low,high,low,high,42.49563425278581,38.518324810385515,48.64155844109655,0.0,27.237261345725283,18.61387534074204,38.86363265465999,22.781006087068643
low,low,high,medium,low,96.37846762191703,84.3357895490388,95.28847246149009,0.0,33.86465848947238,14.06434599412623,68.26004106923259,12.277106278399588
low,low,high,medium,high,61.927709583114655,56.60656079546502,66.87929843445174,0.0,24.680751361513376,14.87040232100264,46.938115421514496,15.862145790402229
low,low,high,high,low,141.52077411261646,126.12178530193671,137.5525180743255,7.609610162576952,37.56361792932378,0.0,108.06541346228265,3.5813316936900583
low,low,high,high,high,102.37781182319097,92.84918291128184,103.69861261013598,0.0,31.965748300675212,8.433397206626974,85.28460611175291,20.362408563276322
low,high,low,low,low,90.03896753889042,87.03958797609681,95.14454047903546,13.057348985185016,27.278551096852265,0.0,57.35148395534952,6.420421292897243
low,high,low,low,high,39.679982617304574,35.55862783987783,45.934664342874,23.506475235816833,2.7151337783066163,0.0,22.28852500814348,12.268731058284676
low,high,low,medium,low,144.4786221944993,128.12802829183795,136.56538112139515,19.363951334141973,44.54627481291293,0.0,82.88362346517405,22.170224354735378
low,high,low,medium,high,59.54030185111119,54.57553983878311,65.7771270340747,0.08108519872645745,7.174902843452058,0.0,29.652525462767493,6.859578187771261
low,high,low,high,low,184.59895605218998,170.66472804699129,179.8993353220945,11.450652795295627,42.98656827431997,0.0,108.66839344938435,11.334069108512548
low,high,low,high,high,95.83930562002348,93.15673833835666,101.53033800864162,12.604592511680258,9.777531238176325,0.0,42.542542556667826,7.862888332795341
low,high,high,low,low,36.44603152177701,30.69565876525927,38.972148118250615,0.930831192300464,19.613825330609565,0.0,22.428447177372902,8.982266105551046
low,high,high,low,high,27.07254410792489,24.785137273679837,33.90195925533486,0.0,21.054444176349673,9.707041823612444,31.451518577657538,10.630544385900196
